Holdings details

Mid-Cap ETF (VO)


Equity,as of 09/30/2024

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SECTOR,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,2556868,Everest Group Ltd,EG,0.20%,Insurance,US,---,"$359,091,036.18","916,446"
,2860257,Sun Communities Inc,SUI,0.20%,Residential REITs,US,---,"$356,831,544.45","2,640,263"
,2162340,Coterra Energy Inc,CTRA,0.20%,"Oil, Gas & Consumable Fuels",US,---,"$356,228,851.20","14,873,856"
,BF311Y5,Burlington Stores Inc,BURL,0.20%,Specialty Retail,US,---,"$356,147,233.40","1,351,705"
,BJLT387,Avantor Inc,AVTR,0.20%,Life Sciences Tools & Services,US,---,"$353,841,555.73","13,677,679"
,2885937,Textron Inc,TXT,0.20%,Aerospace & Defense,US,---,"$351,485,262.84","3,967,998"
,BGSP7M9,Zoom Video Communications Inc,ZM,0.20%,Software,US,---,"$348,434,848.52","4,996,198"
,BNGC0D3,Jacobs Solutions Inc,J,0.20%,Professional Services,US,---,"$344,440,049.80","2,631,322"
,B55PZY3,Targa Resources Corp,TRGP,0.20%,"Oil, Gas & Consumable Fuels",US,---,"$343,351,377.85","2,319,785"
,2093644,W R Berkley Corp,WRB,0.20%,Insurance,US,---,"$342,894,954.36","6,044,332"
,BNBRDD4,Fidelity National Financial Inc,FNF,0.19%,Insurance,US,---,"$341,442,328.60","5,501,810"
,2961053,Skyworks Solutions Inc,SWKS,0.19%,Semiconductors & Semiconductor Equipment,US,---,"$334,086,463.13","3,382,469"
,2142922,VeriSign Inc,VRSN,0.19%,IT Services,US,---,"$333,749,272.20","1,756,945"
,2305844,Revvity Inc,RVTY,0.19%,Life Sciences Tools & Services,US,---,"$333,687,343.50","2,612,034"
,2215460,Conagra Brands Inc,CAG,0.19%,Food Products,US,---,"$329,931,107.16","10,145,483"
,2973821,Alliant Energy Corp,LNT,0.19%,Electric Utilities,US,---,"$329,684,891.13","5,432,277"
,2490911,KeyCorp,KEY,0.19%,Banks,US,---,"$329,240,043.50","19,656,122"
,BZ00V34,Zscaler Inc,ZS,0.19%,Software,US,---,"$328,308,218.70","1,920,605"
,B58YSC6,SS&C Technologies Holdings Inc,SSNC,0.19%,Professional Services,US,---,"$327,851,097.43","4,417,883"
,B0G4K50,CF Industries Holdings Inc,CF,0.19%,Chemicals,US,---,"$327,822,409.20","3,820,774"
,2237561,HEICO Corp,HEI/A,0.19%,Aerospace & Defense,US,---,"$325,010,648.16","1,595,066"
,2507457,Akamai Technologies Inc,AKAM,0.18%,IT Services,US,---,"$323,949,559.50","3,209,010"
,2818740,Snap-on Inc,SNA,0.18%,Machinery,US,---,"$323,238,717.72","1,115,732"
,2903958,Trimble Inc,TRMB,0.18%,"Electronic Equipment, Instruments & Components",US,---,"$321,119,235.15","5,171,835"
,B01SD70,Domino's Pizza Inc,DPZ,0.18%,"Hotels, Restaurants & Leisure",US,---,"$318,589,643.10","740,665"
,2910970,Marathon Oil Corp,MRO,0.18%,"Oil, Gas & Consumable Fuels",US,---,"$315,476,928.62","11,846,674"
,B05MZT4,Celanese Corp,CE,0.18%,Chemicals,US,---,"$314,624,900.04","2,314,099"
,2523022,Loews Corp,L,0.18%,Insurance,US,---,"$312,386,311.80","3,951,756"
,2974329,MicroStrategy Inc,MSTR,0.18%,Software,US,---,"$311,856,048.00","1,849,680"
,2747305,Rollins Inc,ROL,0.18%,Commercial Services & Supplies,US,---,"$311,270,736.24","6,154,028"
,BMV3LG4,AppLovin Corp,APP,0.18%,Software,US,---,"$307,983,768.75","2,359,125"
,B65SQW4,Enphase Energy Inc,ENPH,0.18%,Semiconductors & Semiconductor Equipment,US,---,"$307,929,658.18","2,724,559"
,B1WT4X2,Interactive Brokers Group Inc,IBKR,0.17%,Capital Markets,US,---,"$305,147,533.60","2,189,635"
,BJXMVK2,Tradeweb Markets Inc,TW,0.17%,Capital Markets,US,---,"$304,573,239.30","2,462,790"
,2272476,Dollar Tree Inc,DLTR,0.17%,Consumer Staples Distribution & Retail,US,---,"$304,102,848.24","4,324,557"
,BJN4XN5,Gen Digital Inc,GEN,0.17%,Software,US,---,"$303,928,871.09","11,080,163"
,2146838,Brown-Forman Corp,BF/B,0.17%,Beverages,US,---,"$302,342,511.60","6,145,173"
,2445416,JB Hunt Transport Services Inc,JBHT,0.17%,Ground Transportation,US,---,"$297,773,659.91","1,727,927"
,BMWS3X9,Viatris Inc,VTRS,0.17%,Pharmaceuticals,US,---,"$293,466,608.55","25,277,055"
,B826YT8,WP Carey Inc,WPC,0.16%,Diversified REITs,US,---,"$288,749,597.50","4,634,825"
,2437071,BioMarin Pharmaceutical Inc,BMRN,0.16%,Biotechnology,US,---,"$283,402,532.16","4,031,904"
,BBGVT40,News Corp,NWSA,0.15%,Media,US,---,"$271,274,989.97","10,186,819"
,BDFZSP1,Okta Inc,OKTA,0.14%,IT Services,US,---,"$253,396,736.46","3,408,619"
,BDFG6S3,Hubbell Inc,HUBB,0.14%,Electrical Equipment,US,---,"$243,482,278.65","568,419"
,BD8DJ71,Snap Inc,SNAP,0.14%,Interactive Media & Services,US,---,"$238,841,815.50","22,321,665"
,2320524,Estee Lauder Cos Inc/The,EL,0.13%,Personal Care Products,US,---,"$233,842,334.55","2,345,695"
,BDV82B8,Leidos Holdings Inc,LDOS,0.13%,Professional Services,US,---,"$232,510,046.00","1,426,442"
,2319414,EQT Corp,EQT,0.13%,"Oil, Gas & Consumable Fuels",US,---,"$230,471,352.48","6,290,157"
,BMVP7Y0,Royalty Pharma PLC,RPRX,0.13%,Pharmaceuticals,US,---,"$228,217,749.78","8,067,082"
,2419217,HEICO Corp,HEI,0.13%,Aerospace & Defense,US,---,"$227,665,929.36","870,682"
,BYQHPG3,Carvana Co,CVNA,0.12%,Specialty Retail,US,---,"$216,874,027.65","1,245,615"
,BJJMGL2,Fox Corp,FOXA,0.12%,Media,US,---,"$214,192,509.12","5,060,064"
,2437264,Hormel Foods Corp,HRL,0.12%,Food Products,US,---,"$202,459,562.90","6,386,737"
,2162845,Campbell Soup Co,CPB,0.11%,Food Products,US,---,"$201,050,975.72","4,109,791"
,2849472,Steel Dynamics Inc,STLD,0.11%,Metals & Mining,US,---,"$195,705,788.80","1,552,235"
,BM99VY2,Texas Pacific Land Corp,TPL,0.10%,"Oil, Gas & Consumable Fuels",US,---,"$182,998,736.86","206,839"
,B1XGNW4,Insulet Corp,PODD,0.10%,Health Care Equipment & Supplies,US,---,"$172,805,237.50","742,450"
,BMC1PR6,Bentley Systems Inc,BSY,0.10%,Software,US,---,"$171,997,998.01","3,385,121"
,BJBLRK3,Healthpeak Properties Inc,DOC,0.10%,Health Care REITs,US,---,"$169,352,693.05","7,405,015"
,2645409,NiSource Inc,NI,0.09%,Multi-Utilities,US,---,"$164,566,571.40","4,749,396"
,2727910,UDR Inc,UDR,0.09%,Residential REITs,US,---,"$158,349,859.32","3,492,498"
,2781585,Pool Corp,POOL,0.08%,Distributors,US,---,"$145,018,639.20","384,869"
,BFMXGR0,Evergy Inc,EVRG,0.08%,Electric Utilities,US,---,"$143,333,572.59","2,311,459"
,BMTX0G9,Corebridge Financial Inc,CRBG,0.07%,Financial Services,US,---,"$125,829,628.20","4,315,145"
,2046853,Albemarle Corp,ALB,0.07%,Chemicals,US,---,"$117,876,728.97","1,244,607"
,2471950,Incyte Corp,INCY,0.07%,Biotechnology,US,---,"$114,582,499.20","1,733,472"
,BP5DSY8,Lineage Inc,LINE,0.06%,Industrial REITs,US,---,"$113,747,799.30","1,451,235"
,2547419,MGM Resorts International,MGM,0.05%,"Hotels, Restaurants & Leisure",US,---,"$94,282,930.05","2,411,945"
,BLGJ610,Warner Music Group Corp,WMG,0.05%,Entertainment,US,---,"$84,420,356.80","2,697,136"
,BJJMGY5,Fox Corp,FOX,0.05%,Media,US,---,"$83,959,087.20","2,163,894"
,2350684,Franklin Resources Inc,BEN,0.04%,Capital Markets,US,---,"$66,887,119.00","3,319,460"
,BTN1Y44,Walgreens Boots Alliance Inc,WBA,0.04%,Consumer Staples Distribution & Retail,US,---,"$65,420,024.32","7,301,342"
,B01ZP20,Westlake Corp,WLK,0.03%,Chemicals,US,---,"$61,273,533.58","407,702"
,BYP0CD9,Avangrid Inc,AGR,0.03%,Electric Utilities,US,---,"$58,531,717.59","1,635,421"
,BMD6Y84,Rocket Cos Inc,RKT,0.03%,Financial Services,US,---,"$54,245,716.30","2,826,770"
,2146816,Brown-Forman Corp,BF/A,0.02%,Beverages,US,---,"$43,150,357.60","897,470"
,BMZLFJ5,Amentum Holdings Inc,AMTM,0.02%,Professional Services,US,---,"$41,612,723.25","1,290,317"
,2578293,Lennar Corp,LEN/B,0.02%,Household Durables,US,---,"$36,815,294.26","212,879"
,BBGVT51,News Corp,NWS,<0.01%,Media,US,---,"$9,930,914.50","355,310"
,BPG82M8,Symbotic Inc,SYM,<0.01%,Machinery,US,---,"$6,419,057.76","263,184"
,---,Super Micro Computer Inc,---,<0.01%,"Technology Hardware, Storage & Peripherals",US,---,"$66,624.00",160


Fixed income,as of 09/30/2024

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,MARKET VALUE*,FACEAMOUNT,COUPONYIELD,MATURITY DATE



Short-term reserves,as of 09/30/2024

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,MARKET VALUE*
,---,MKTLIQ,---,0.23%,"$408,263,896.60"
,---,SLCMT1142,---,0.03%,"$58,263,032.00"
,---,Synthetic Cash - BBAM USD,---,<0.01%,"$11,010,000.00"
,---,Synthetic Cash - ZVGI USD,---,<0.01%,"$4,760,000.00"
,---,Synthetic Cash - CMS USD,---,<0.01%,"$4,130,000.00"
,---,Synthetic Cash - BCIT USD,---,<0.01%,"$340,000.00"
,---,Synthetic Cash - QMS USD,---,<0.01%,"-$148,749.97"



"** There may be deviations when applying fair value and other considerations."



"Sector categories are based on the Industry Classification Benchmark system (“ICB”), except for the “Other” category (if applicable), which includes securities that have not been provided an ICB classification as of the effective reporting period."



"For more information about Vanguard funds and Vanguard ETF Shares, visit advisors.vanguard.com or call 800-997-2798 to obtain a prospectus or, if available, a summary prospectus. Investment objectives, risks, charges, expenses, and other important information about a fund are contained in the prospectus; read and consider it carefully before investing."
